team,code,group,mean_strength,sd_strength,q05,q50,q95,adjustment
Austria,AUT,J,-0.009571786243972178,0.040329955151708945,-0.0750796093591484,-0.00934796913051101,0.056826291973182806,0.0
Korea Republic,KOR,A,-0.02364563639814449,0.04288964877415731,-0.09123268095590134,-0.024114552483989048,0.046519979016233406,0.0
Ecuador,ECU,E,-0.0712350221954198,0.04843836377877651,-0.15239156855449273,-0.071345024355609,0.00596840524356917,0.0
Turkey,TUR,D,-0.07498056589770348,0.044099080690740144,-0.14359487388652123,-0.07741681913407311,-0.0008471934976003474,0.0
Sweden,SWE,F,-0.1345727729289336,0.04132627921905692,-0.19686806670159876,-0.13320770927719608,-0.07460297472695618,0.0
Australia,AUS,D,-0.1439513036340076,0.04387843913509332,-0.21076217191983188,-0.14543763991436742,-0.06925995394936606,0.0
Iran,IRN,G,-0.23681150613757088,0.04013266909701744,-0.30487213493187176,-0.23606125438120992,-0.174956841986656,0.0
Cote d'Ivoire,CIV,E,-0.445118142595704,0.04298501714209199,-0.5176350058297886,-0.44452252110067225,-0.3785586863518929,0.0
Egypt,EGY,G,-0.47256539514781365,0.044414945257541555,-0.5444198190115831,-0.4718076329800832,-0.4038520210449286,0.0
Ghana,GHA,L,-0.47354961625172476,0.040355668887014,-0.5419771575281016,-0.4738591758044288,-0.4066540597891453,0.0
Norway,NOR,I,-0.48338639225722846,0.041468406438724445,-0.547332157592673,-0.4838653772585838,-0.4138034461356184,0.0
Qatar,QAT,B,-0.49562459941713843,0.04621076815764977,-0.5653833940661093,-0.4951489786534662,-0.42661617386358935,0.0
Scotland,SCO,C,-0.5172051935709192,0.044135418667753515,-0.5861468127056766,-0.5173718189957487,-0.44691495233852313,0.0
Canada,CAN,B,-0.529347380819242,0.044277458570390886,-0.5996314687557356,-0.528830646451406,-0.4586444436060949,0.0
Paraguay,PAR,D,-0.5565050275553856,0.042465869132231396,-0.6223913927033287,-0.5566695695569202,-0.4867237389321326,0.0
Tunisia,TUN,F,-0.5781816678369952,0.04451358800928793,-0.654249071723557,-0.5774495100167274,-0.5105684182479715,0.0
Saudi Arabia,KSA,H,-0.5822027142944601,0.04410028905218147,-0.6505586854244777,-0.5824795076847309,-0.507370297692866,0.0
Panama,PAN,L,-0.75581427297603,0.039001676628754006,-0.8188292671582251,-0.7560860194890621,-0.6902133441622127,0.0
Bosnia-Herzegovina,BIH,B,-0.7674942976518895,0.03916974532294147,-0.8307889700021099,-0.7678187637102241,-0.7041071707175062,0.0
Algeria,ALG,J,-0.7780548823615067,0.04246388508327227,-0.8471506616473189,-0.778329026633654,-0.7088128444903377,0.0
Czech Republic,CZE,A,-0.8692484543380662,0.042076682567899086,-0.9418692281786114,-0.8701741161816643,-0.7992170463736354,0.0
Uzbekistan,UZB,K,-0.9710513203239866,0.04515934118258919,-1.0475094787933181,-0.9712407149087643,-0.8928126096753913,0.0
South Africa,RSA,A,-0.9995642382698583,0.043810811354623024,-1.069308180317483,-0.9993256190074806,-0.9247219988381573,-0.18
New Zealand,NZL,G,-1.0570360002009764,0.044235561776766304,-1.1301839923214703,-1.0570138604020005,-0.9909555745855333,0.0
Iraq,IRQ,I,-1.0953039176692714,0.04534529383546422,-1.1652687358119045,-1.0941620619388588,-1.0255193795724342,0.0
Jordan,JOR,J,-1.1190240557346982,0.045334845107033936,-1.1911023073756621,-1.11790673932162,-1.048880785076221,0.0
Cape Verde,CPV,H,-1.15023541982061,0.0409125144495562,-1.2155867234785243,-1.1505502366063014,-1.0824825483116005,0.0
Haiti,HAI,C,-1.2215447315102446,0.047170152028887156,-1.2918189774942543,-1.2212014216078675,-1.1481931276560247,0.0
Curacao,CUW,E,-1.2650102358648037,0.041452690482534284,-1.3277674493511102,-1.2636094006802385,-1.201434112407847,0.0
Congo DR,COD,K,-1.3097954700738106,0.04419887279477608,-1.3769670316392035,-1.3109786084599437,-1.2382684324322921,0.0
