team,code,group,R32_prob,R32_ci_low,R32_ci_high,R16_prob,R16_ci_low,R16_ci_high,QF_prob,QF_ci_low,QF_ci_high,SF_prob,SF_ci_low,SF_ci_high,Final_prob,Final_ci_low,Final_ci_high,Champion_prob,Champion_ci_low,Champion_ci_high
Mexico,MEX,A,0.9882,0.987530702042316,0.988869297957684,0.81317,0.8107541495172388,0.8155858504827611,0.21673,0.21417629143355127,0.21928370856644874,0.06074,0.05925957510741058,0.06222042489258942,0.00893,0.008346912185068493,0.009513087814931508,0.00125,0.0010310023401951518,0.0014689976598048482
Switzerland,SUI,B,0.93824,0.9367480073380212,0.9397319926619787,0.67963,0.6767378669892189,0.682522133010781,0.21646,0.21390744279052273,0.2190125572094773,0.02256,0.021639612582385875,0.023480387417614126,0.00502,0.004581958653283049,0.0054580413467169514,0.00053,0.00038734766407240293,0.0006726523359275971
United States,USA,D,0.90388,0.9020530850030257,0.9057069149969743,0.66478,0.6618540964571152,0.6677059035428848,0.19637,0.19390780915682604,0.19883219084317394,0.03715,0.03597776469339983,0.03832223530660017,0.00462,0.004199688266248014,0.005040311733751986,0.00043,0.00030150184094081343,0.0005584981590591865
Japan,JPN,F,0.82925,0.8269177281652861,0.831582271834714,0.22617,0.2235770368092976,0.2287629631907024,0.11746,0.11546442401574522,0.11945557598425477,0.02178,0.020875302733758084,0.022684697266241918,0.00296,0.0026232882918958713,0.0032967117081041286,0.00027,0.00016816916246244462,0.0003718308375375554
Senegal,SEN,I,0.86297,0.8608386157638976,0.8651013842361024,0.4804,0.4773033498567904,0.4834966501432096,0.10179,0.09991587923993826,0.10366412076006175,0.01844,0.017606136516435455,0.019273863483564548,0.00161,0.001361504161229207,0.0018584958387707932,0.00013,5.93357886225283e-05,0.00020066421137747168
Colombia,COL,K,0.93535,0.9338258510499168,0.9368741489500833,0.26682,0.2640786116296224,0.26956138837037763,0.07678,0.07512981464957855,0.07843018535042146,0.01056,0.009926447276430446,0.011193552723569554,0.00123,0.0010127592109349629,0.001447240789065037,0.0001,3.802245697028641e-05,0.0001619775430297136
Korea Republic,KOR,A,0.9426,0.9411582972220877,0.9440417027779123,0.5648,0.561727104023993,0.567872895976007,0.07974,0.07806100478003111,0.0814189952199689,0.00661,0.006107753761301889,0.007112246238698112,0.0006,0.00044822460594681356,0.0007517753940531863,4e-05,8.007840078401611e-07,7.919921599215985e-05
Ecuador,ECU,E,0.82382,0.8214587034109283,0.8261812965890717,0.38198,0.3789685361903032,0.3849914638096968,0.05274,0.05135464609429995,0.05412535390570006,0.0064,0.0059057441142080355,0.006894255885791965,0.0005,0.000361441723451827,0.000638558276548173,4e-05,8.007840078401611e-07,7.919921599215985e-05
Austria,AUT,J,0.8606,0.8584532170910314,0.8627467829089687,0.09982,0.09796206920168657,0.10167793079831344,0.02511,0.024140255700111416,0.026079744299888585,0.00473,0.004304737489691838,0.005155262510308162,0.00039,0.0002676219099413625,0.0005123780900586375,3e-05,0.0,6.394768660159335e-05
Australia,AUS,D,0.62974,0.6267471144484497,0.6327328855515503,0.29409,0.29126595984835374,0.2969140401516463,0.03492,0.03378217663772552,0.03605782336227448,0.0034,0.003039208770838314,0.0037607912291616856,0.0003,0.0001926624829800875,0.00040733751701991247,3e-05,0.0,6.394768660159335e-05
Turkey,TUR,D,0.67342,0.6705133424442674,0.6763266575557326,0.33506,0.33213444280546384,0.3379855571945362,0.0433,0.042038498107112,0.044561501892887996,0.00432,0.003913502539686162,0.004726497460313838,0.00042,0.00029300415984135546,0.0005469958401586446,2e-05,0.0,4.77183086352685e-05
Canada,CAN,B,0.6522,0.649248034636626,0.6551519653633741,0.21452,0.21197576319275235,0.21706423680724762,0.01974,0.018877815350705894,0.020602184649294107,0.00075,0.0005803226856648185,0.0009196773143351815,7e-05,1.8145089320296768e-05,0.00012185491067970321,1e-05,0.0,2.9599901999754997e-05
Qatar,QAT,B,0.5979,0.59486095322421,0.60093904677579,0.18506,0.1826530051129048,0.1874669948870952,0.01739,0.01657979213977745,0.01820020786022255,0.00077,0.0005980769266398485,0.0009419230733601514,5e-05,6.17416332800936e-06,9.382583667199065e-05,1e-05,0.0,2.9599901999754997e-05
Scotland,SCO,C,0.55064,0.5475569032384944,0.5537230967615057,0.0794,0.07772427863108451,0.08107572136891548,0.00721,0.00668561241546505,0.0077343875845349505,0.00052,0.0003786991425588648,0.0006613008574411351,2e-05,0.0,4.77183086352685e-05,0.0,0.0,0.0
Paraguay,PAR,D,0.36946,0.36646845110494675,0.3724515488950533,0.11021,0.10826906794383359,0.11215093205616641,0.00816,0.007602401033366812,0.00871759896663319,0.00046,0.00032709691059121314,0.0005929030894087869,4e-05,8.007840078401611e-07,7.919921599215985e-05,0.0,0.0,0.0
Bosnia-Herzegovina,BIH,B,0.41248,0.409428812849294,0.415531187150706,0.09023,0.08845418648912855,0.09200581351087146,0.00572,0.0052525787660518625,0.006187421233948138,0.00017,8.919399912382745e-05,0.00025080600087617257,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,CZE,A,0.43285,0.42977904289348745,0.4359209571065126,0.04298,0.041722958013368845,0.04423704198663115,0.00255,0.0022374124123385577,0.0028625875876614427,0.0001,3.802245697028641e-05,0.0001619775430297136,1e-05,0.0,2.9599901999754997e-05,0.0,0.0,0.0
South Africa,RSA,A,0.36665,0.3636632160874211,0.36963678391257887,0.04332,0.042058219989902515,0.04458178001009748,0.0022,0.0019096049818609143,0.002490395018139086,5e-05,6.17416332800936e-06,9.382583667199065e-05,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,HAI,C,0.17543,0.17307266248303693,0.17778733751696307,0.00956,0.008956886425735253,0.010163113574264748,0.00035,0.00023406513018077777,0.0004659348698192222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cote d'Ivoire,CIV,E,0.65042,0.6474645317109775,0.6533754682890225,0.1886,0.1861753759019922,0.19102462409800777,0.01991,0.019044185847637958,0.020775814152362043,0.0013,0.0010766709222694009,0.001523329077730599,7e-05,1.8145089320296768e-05,0.00012185491067970321,0.0,0.0,0.0
Saudi Arabia,KSA,H,0.52134,0.5182437917507651,0.524436208249235,0.06056,0.059081628680763054,0.06203837131923695,0.00697,0.0064543516351760625,0.007485648364823937,0.00049,0.00035283361811872416,0.0006271663818812758,2e-05,0.0,4.77183086352685e-05,0.0,0.0,0.0
Cape Verde,CPV,H,0.20892,0.2064002567969776,0.2114397432030224,0.0113,0.010644869890052365,0.011955130109947634,0.00061,0.00045696580314713965,0.0007630341968528603,3e-05,0.0,6.394768660159335e-05,0.0,0.0,0.0,0.0,0.0,0.0
Iran,IRN,G,0.76175,0.759109545078779,0.764390454921221,0.26201,0.2592845372957389,0.2647354627042611,0.02592,0.02493514819962717,0.026904851800372828,0.00287,0.002538431769842767,0.0032015682301572332,0.00025,0.00015201225076572072,0.0003479877492342793,0.0,0.0,0.0
New Zealand,NZL,G,0.27583,0.2730598895489137,0.27860011045108635,0.02299,0.02206108695588963,0.02391891304411037,0.00095,0.0007590535950587181,0.0011409464049412818,3e-05,0.0,6.394768660159335e-05,0.0,0.0,0.0,0.0,0.0,0.0
Egypt,EGY,G,0.6328,0.6298122748502314,0.6357877251497687,0.14192,0.1397570734960111,0.14408292650398888,0.01056,0.009926447276430446,0.011193552723569554,0.00097,0.0007770560330417145,0.0011629439669582856,5e-05,6.17416332800936e-06,9.382583667199065e-05,0.0,0.0,0.0
Curacao,CUW,E,0.18736,0.1849415138315371,0.1897784861684629,0.01926,0.018408153865420284,0.020111846134579715,0.00096,0.0007680522054974322,0.0011519477945025679,2e-05,0.0,4.77183086352685e-05,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,TUN,F,0.28132,0.27853308222640827,0.28410691777359176,0.04736,0.046043483444902264,0.048676516555097735,0.00649,0.005992303552113942,0.006987696447886058,0.00028,0.00017630106950599728,0.0003836989304940027,2e-05,0.0,4.77183086352685e-05,0.0,0.0,0.0
Sweden,SWE,F,0.55143,0.5483474056453822,0.5545125943546177,0.13056,0.12847175740318748,0.13264824259681254,0.03117,0.0300929192559805,0.032247080744019496,0.00268,0.002359564420013008,0.003000435579986992,0.00015,7.409521991336778e-05,0.0002259047800866322,0.0,0.0,0.0
Jordan,JOR,J,0.31823,0.31534300804100296,0.32111699195899707,0.01955,0.018691891551865385,0.020408108448134617,0.0014,0.001168252066589581,0.001631747933410419,4e-05,8.007840078401611e-07,7.919921599215985e-05,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,ALG,J,0.52371,0.5206144541831957,0.5268055458168043,0.04738,0.046063219316207285,0.04869678068379271,0.00528,0.004830816848729162,0.0057291831512708375,0.00029,0.0001844660755282928,0.0003955339244717072,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,IRQ,I,0.24511,0.2424438877981663,0.24777611220183368,0.03098,0.029906101715955556,0.032053898284044445,0.00195,0.001676567881988966,0.0022234321180110337,5e-05,6.17416332800936e-06,9.382583667199065e-05,0.0,0.0,0.0,0.0,0.0,0.0
Norway,NOR,I,0.59093,0.5878826460107822,0.5939773539892177,0.16255,0.1602631956918092,0.1648368043081908,0.01819,0.0173617028892104,0.019018297110789603,0.00103,0.0008311841946282943,0.0012288158053717058,6e-05,1.199144136302361e-05,0.0001080085586369764,0.0,0.0,0.0
Uzbekistan,UZB,K,0.47293,0.4698355130739844,0.4760244869260156,0.01585,0.015075892361205497,0.016624107638794502,0.00178,0.0015187362199890692,0.0020412637800109306,0.0001,3.802245697028641e-05,0.0001619775430297136,0.0,0.0,0.0,0.0,0.0,0.0
Congo DR,COD,K,0.27758,0.2748044756776894,0.2803555243223106,0.00585,0.005377327906006712,0.0063226720939932885,0.00042,0.00029300415984135546,0.0005469958401586446,2e-05,0.0,4.77183086352685e-05,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,GHA,L,0.44114,0.43806251599786994,0.44421748400213,0.05649,0.05505908079534923,0.05792091920465077,0.0132,0.012492612131741009,0.013907387868258991,0.00059,0.00043949396227924945,0.0007405060377207506,3e-05,0.0,6.394768660159335e-05,0.0,0.0,0.0
Panama,PAN,L,0.27382,0.27105617337490906,0.27658382662509096,0.02277,0.02184543812263667,0.023694561877363327,0.00463,0.004209235742903938,0.005050764257096061,9e-05,3.1202646059537686e-05,0.00014879735394046233,0.0,0.0,0.0,0.0,0.0,0.0
